Table 210-06401 : Unemployed persons and unemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2)
,,,No. ('000),(%),No. ('000),(%),No. ('000),(%)
Year / Moving 3-month period,,Age group,,,,,,
1990,,60 and over,0.7,0.6,,,0.8,0.5
1990,,     60 - 64,0.5,0.7,,,0.5,0.6
1990,,     65 and over,,,,,,
1990,,15 and over,23.2,1.3,13.3,1.3,36.6,1.3
1991,,15 - 24,11.4,4.7,8.5,3.6,19.9,4.2
1991,,     15 - 19,5.4,8.6,3.8,7.5,9.2,8.1
1991,,     20 - 24,6.1,3.3,4.7,2.6,10.7,2.9
1991,,25 - 29,5.6,2.1,3.1,1.4,8.6,1.8
1991,,30 - 34,3.9,1.3,1.9,1.1,5.7,1.2
1991,,35 - 39,2.7,1.1,1.2,0.9,3.9,1.0
1991,,40 - 44,3.1,1.4,1.2,1.1,4.3,1.3
1991,,45 - 49,2.2,1.6,0.3,0.5,2.5,1.3
1991,,50 - 54,2.1,1.7,0.3,0.7,2.5,1.4
1991,,55 - 59,2.0,1.9,,,2.1,1.5
1991,,60 and over,0.9,0.7,,,1.0,0.6
1991,,     60 - 64,0.5,0.7,,,0.6,0.6
1991,,     65 and over,0.4,0.8,,,0.4,0.6
1991,,15 and over,33.8,1.9,16.6,1.6,50.4,1.8
1992,,15 - 24,11.1,4.8,8.4,3.8,19.6,4.3
1992,,     15 - 19,4.0,6.7,2.8,6.5,6.8,6.6
1992,,     20 - 24,7.1,4.1,5.7,3.2,12.8,3.7
1992,,25 - 29,5.6,2.2,3.9,1.8,9.5,2.0
1992,,30 - 34,4.1,1.4,2.3,1.3,6.4,1.3
1992,,35 - 39,3.7,1.4,1.9,1.4,5.6,1.4
1992,,40 - 44,3.2,1.4,1.3,1.2,4.5,1.3
1992,,45 - 49,2.4,1.7,0.4,0.7,2.9,1.4
1992,,50 - 54,1.8,1.5,0.5,1.1,2.3,1.4
1992,,55 - 59,2.4,2.3,0.3,0.8,2.6,1.9
